"","x","y"
"1624",-58.51135122,-34.59188671
"1635",-58.51135253,-34.59414027
"1646",-58.51135385,-34.59639383
"1657",-58.51135516,-34.59864738
"1669",-58.51135647,-34.60090094
"1680",-58.51135779,-34.60315449
"1691",-58.51135911,-34.60540805
"1702",-58.51136042,-34.6076616
"1713",-58.51136173,-34.60991515
"1724",-58.51136305,-34.6121687
"1735",-58.51136436,-34.61442225
"1746",-58.51136568,-34.6166758
"1757",-58.51136699,-34.61892935
"1768",-58.51136831,-34.6211829
"1780",-58.51136962,-34.62343645
"1791",-58.51137094,-34.62568999
"1802",-58.51137226,-34.62794354
"1813",-58.51137357,-34.63019708
"1824",-58.51137489,-34.63245063
"1835",-58.5113762,-34.63470417
"1846",-58.51137752,-34.63695771
"1857",-58.51137884,-34.63921125
"1868",-58.51138015,-34.64146479
"1879",-58.51138147,-34.64371833
"1891",-58.51138279,-34.64597187
"1902",-58.51138411,-34.64822541
"1913",-58.51138542,-34.65047895
"1924",-58.51138674,-34.65273248
"1935",-58.51138806,-34.65498602
"1946",-58.51138938,-34.65723955
"1957",-58.51139069,-34.65949309
"1968",-58.51139201,-34.66174662
"1979",-58.51139333,-34.66400015
"1990",-58.51139465,-34.66625368
"2002",-58.51139597,-34.66850721
"2013",-58.50897818,-34.56822522
"2024",-58.50897943,-34.57047878
"2035",-58.50898067,-34.57273235
"2046",-58.50898193,-34.57498592
"2057",-58.50898317,-34.57723948
"2068",-58.50898442,-34.57949304
"2079",-58.50898567,-34.58174661
"2090",-58.50898692,-34.58400017
"2101",-58.50898817,-34.58625373
"2113",-58.50898942,-34.58850729
"2124",-58.50899067,-34.59076085
"2135",-58.50899192,-34.59301441
"2146",-58.50899317,-34.59526796
"2157",-58.50899442,-34.59752152
"2168",-58.50899567,-34.59977508
"2179",-58.50899692,-34.60202863
"2190",-58.50899817,-34.60428219
"2201",-58.50899942,-34.60653574
"2212",-58.50900067,-34.60878929
"2225",-58.50900193,-34.61104285
"2236",-58.50900318,-34.6132964
"2247",-58.50900443,-34.61554995
"2258",-58.50900568,-34.6178035
"2269",-58.50900693,-34.62005704
"2280",-58.50900818,-34.62231059
"2291",-58.50900944,-34.62456414
"2302",-58.50901069,-34.62681768
"2313",-58.50901193,-34.62907123
"2324",-58.50901319,-34.63132477
"2336",-58.50901444,-34.63357831
"2347",-58.50901569,-34.63583186
"2358",-58.50901695,-34.6380854
"2369",-58.5090182,-34.64033894
"2380",-58.50901945,-34.64259248
"2391",-58.50902071,-34.64484602
"2402",-58.50902196,-34.64709956
"2413",-58.50902321,-34.6493531
"2424",-58.50902447,-34.65160663
"2435",-58.50902572,-34.65386017
"2447",-58.50902697,-34.65611371
"2458",-58.50902823,-34.65836724
"2469",-58.50902948,-34.66062077
"2480",-58.50903074,-34.66287431
"2491",-58.50903199,-34.66512784
"2502",-58.50903325,-34.66738137
